Surname,passenger_count,survived_count,survival_rate,passenger_ids,names
Brown,4,3,0.75,"195, 346, 671, 685","Brown, Mrs. James Joseph (Margaret Tobin) | Brown, Miss. Amelia ""Mildred"" | Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford) | Brown, Mr. Thomas William Solomon"
Harper,4,3,0.75,"53, 646, 721, 849","Harper, Mrs. Henry Sleeper (Myna Haxtun) | Harper, Mr. Henry Sleeper | Harper, Miss. Annie Jessie ""Nina"" | Harper, Rev. John"
Kelly,4,3,0.75,"301, 574, 697, 707","Kelly, Miss. Anna Katherine ""Annie Kate"" | Kelly, Miss. Mary | Kelly, Mr. James | Kelly, Mrs. Florence ""Fannie"""
Fortune,4,2,0.5,"28, 89, 342, 439","Fortune, Mr. Charles Alexander | Fortune, Miss. Mabel Helen | Fortune, Miss. Alice Elizabeth | Fortune, Mr. Mark"
Harris,4,2,0.5,"63, 220, 231, 571","Harris, Mr. Henry Birkhardt | Harris, Mr. Walter | Harris, Mrs. Henry Birkhardt (Irene Wallach) | Harris, Mr. George"
Hart,4,2,0.5,"315, 412, 441, 536","Hart, Mr. Benjamin | Hart, Mr. Henry | Hart, Mrs. Benjamin (Esther Ada Bloomfield) | Hart, Miss. Eva Miriam"
Smith,4,1,0.25,"175, 261, 285, 347","Smith, Mr. James Clinch | Smith, Mr. Thomas | Smith, Mr. Richard William | Smith, Miss. Marion Elsie"
Williams,4,1,0.25,"18, 156, 305, 736","Williams, Mr. Charles Eugene | Williams, Mr. Charles Duane | Williams, Mr. Howard Hugh ""Harry"" | Williams, Mr. Leslie"
Ford,4,0,0.0,"87, 148, 437, 737","Ford, Mr. William Neal | Ford, Miss. Robina Maggie ""Ruby"" | Ford, Miss. Doolina Margaret ""Daisy"" | Ford, Mrs. Edward (Margaret Ann Watson)"
Gustafsson,4,0,0.0,"105, 380, 393, 877","Gustafsson, Mr. Anders Vilhelm | Gustafsson, Mr. Karl Gideon | Gustafsson, Mr. Johan Birger | Gustafsson, Mr. Alfred Ossian"
Lefebre,4,0,0.0,"177, 230, 410, 486","Lefebre, Master. Henry Forbes | Lefebre, Miss. Mathilde | Lefebre, Miss. Ida | Lefebre, Miss. Jeannie"
Palsson,4,0,0.0,"8, 25, 375, 568","Palsson, Master. Gosta Leonard | Palsson, Miss. Torborg Danira | Palsson, Miss. Stina Viola | Palsson, Mrs. Nils (Alma Cornelia Berglund)"
Richards,3,3,1.0,"408, 438, 832","Richards, Master. William Rowe | Richards, Mrs. Sidney (Emily Hocking) | Richards, Master. George Sibley"
Collyer,3,2,0.6666666666666666,"238, 638, 802","Collyer, Miss. Marjorie ""Lottie"" | Collyer, Mr. Harvey | Collyer, Mrs. Harvey (Charlotte Annie Tate)"
Goldsmith,3,2,0.6666666666666666,"166, 329, 549","Goldsmith, Master. Frank John William ""Frankie"" | Goldsmith, Mrs. Frank John (Emily Alice Brown) | Goldsmith, Mr. Frank John"
Graham,3,2,0.6666666666666666,"269, 333, 888","Graham, Mrs. William Thompson (Edith Junkins) | Graham, Mr. George Edward | Graham, Miss. Margaret Edith"
Hoyt,3,2,0.6666666666666666,"225, 487, 794","Hoyt, Mr. Frederick Maxfield | Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby) | Hoyt, Mr. William Fisher"
Laroche,3,2,0.6666666666666666,"44, 609, 686","Laroche, Miss. Simonne Marie Anne Andree | Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue) | Laroche, Mr. Joseph Philippe Lemercier"
Navratil,3,2,0.6666666666666666,"149, 194, 341","Navratil, Mr. Michel (""Louis M Hoffman"") | Navratil, Master. Michel M | Navratil, Master. Edmond Roger"
Newell,3,2,0.6666666666666666,"216, 394, 660","Newell, Miss. Madeleine | Newell, Miss. Marjorie | Newell, Mr. Arthur Webster"
Taussig,3,2,0.6666666666666666,"263, 559, 586","Taussig, Mr. Emil | Taussig, Mrs. Emil (Tillie Mandelbaum) | Taussig, Miss. Ruth"
Thayer,3,2,0.6666666666666666,"551, 582, 699","Thayer, Mr. John Borland Jr | Thayer, Mrs. John Borland (Marian Longstreth Morris) | Thayer, Mr. John Borland"
West,3,2,0.6666666666666666,"59, 451, 473","West, Miss. Constance Mirium | West, Mr. Edwy Arthur | West, Mrs. Edwy Arthur (Ada Mary Worth)"
Allison,3,1,0.3333333333333333,"298, 306, 499","Allison, Miss. Helen Loraine | Allison, Master. Hudson Trevor | Allison, Mrs. Hudson J C (Bessie Waldo Daniels)"
Davies,3,1,0.3333333333333333,"386, 550, 566","Davies, Mr. Charles Henry | Davies, Master. John Morgan Jr | Davies, Mr. Alfred J"
Flynn,3,1,0.3333333333333333,"429, 573, 826","Flynn, Mr. James | Flynn, Mr. John Irwin (""Irving"") | Flynn, Mr. John"
Jussila,3,1,0.3333333333333333,"114, 403, 580","Jussila, Miss. Katriina | Jussila, Miss. Mari Aina | Jussila, Mr. Eiriik"
Meyer,3,1,0.3333333333333333,"35, 376, 809","Meyer, Mr. Edgar Joseph | Meyer, Mrs. Edgar Joseph (Leila Saks) | Meyer, Mr. August"
Moran,3,1,0.3333333333333333,"6, 110, 769","Moran, Mr. James | Moran, Miss. Bertha | Moran, Mr. Daniel J"
O'Brien,3,1,0.3333333333333333,"187, 365, 553","O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey) | O'Brien, Mr. Thomas | O'Brien, Mr. Timothy"
Boulos,3,0,0.0,"141, 599, 853","Boulos, Mrs. Joseph (Sultana) | Boulos, Mr. Hanna | Boulos, Miss. Nourelain"
Bourke,3,0,0.0,"189, 594, 658","Bourke, Mr. John | Bourke, Miss. Mary | Bourke, Mrs. John (Catherine)"
Elias,3,0,0.0,"353, 533, 774","Elias, Mr. Tannous | Elias, Mr. Joseph Jr | Elias, Mr. Dibo"
Hansen,3,0,0.0,"624, 705, 861","Hansen, Mr. Henry Damsgaard | Hansen, Mr. Henrik Juul | Hansen, Mr. Claus Peter"
Hickman,3,0,0.0,"121, 656, 666","Hickman, Mr. Stanley George | Hickman, Mr. Leonard Mark | Hickman, Mr. Lewis"
Jensen,3,0,0.0,"641, 722, 772","Jensen, Mr. Hans Peder | Jensen, Mr. Svend Lauritz | Jensen, Mr. Niels Peder"
Johansson,3,0,0.0,"104, 396, 806","Johansson, Mr. Gustaf Joel | Johansson, Mr. Erik | Johansson, Mr. Karl Johan"
Olsen,3,0,0.0,"155, 198, 509","Olsen, Mr. Ole Martin | Olsen, Mr. Karl Siegwart Andreas | Olsen, Mr. Henry Margido"
Van Impe,3,0,0.0,"420, 596, 800","Van Impe, Miss. Catharina | Van Impe, Mr. Jean Baptiste | Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)"
Vander Planke,3,0,0.0,"19, 39, 334","Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele) | Vander Planke, Miss. Augusta Maria | Vander Planke, Mr. Leo Edmondus"
Beane,2,2,1.0,"544, 547","Beane, Mr. Edward | Beane, Mrs. Edward (Ethel Clarke)"
Becker,2,2,1.0,"184, 619","Becker, Master. Richard F | Becker, Miss. Marion Louise"
Beckwith,2,2,1.0,"249, 872","Beckwith, Mr. Richard Leonard | Beckwith, Mrs. Richard Leonard (Sallie Monypeny)"
Bishop,2,2,1.0,"292, 485","Bishop, Mrs. Dickinson H (Helen Walton) | Bishop, Mr. Dickinson H"
Caldwell,2,2,1.0,"79, 324","Caldwell, Master. Alden Gates | Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)"
Chambers,2,2,1.0,"725, 810","Chambers, Mr. Norman Campbell | Chambers, Mrs. Norman Campbell (Bertha Griggs)"
Coutts,2,2,1.0,"349, 490","Coutts, Master. William Loch ""William"" | Coutts, Master. Eden Leslie ""Neville"""
Daly,2,2,1.0,"511, 858","Daly, Mr. Eugene Patrick | Daly, Mr. Peter Denis "
Dick,2,2,1.0,"691, 782","Dick, Mr. Albert Adrian | Dick, Mrs. Albert Adrian (Vera Gillespie)"
Doling,2,2,1.0,"99, 652","Doling, Mrs. John T (Ada Julia Bone) | Doling, Miss. Elsie"
Duff Gordon,2,2,1.0,"557, 600","Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"") | Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")"
Frauenthal,2,2,1.0,"335, 661","Frauenthal, Mrs. Henry William (Clara Heinsheimer) | Frauenthal, Dr. Henry William"
Goldenberg,2,2,1.0,"454, 850","Goldenberg, Mr. Samuel L | Goldenberg, Mrs. Samuel L (Edwiga Grabowska)"
Hamalainen,2,2,1.0,"248, 756","Hamalainen, Mrs. William (Anna) | Hamalainen, Master. Viljo"
Hays,2,2,1.0,"311, 821","Hays, Miss. Margaret Bechstein | Hays, Mrs. Charles Melville (Clara Jennings Gregg)"
Herman,2,2,1.0,"616, 755","Herman, Miss. Alice | Herman, Mrs. Samuel (Jane Laver)"
Hippach,2,2,1.0,"330, 524","Hippach, Miss. Jean Gertrude | Hippach, Mrs. Louis Albert (Ida Sophia Fischer)"
McCoy,2,2,1.0,"302, 331","McCoy, Mr. Bernard | McCoy, Miss. Agnes"
Mellinger,2,2,1.0,"273, 447","Mellinger, Mrs. (Elizabeth Anne Maidment) | Mellinger, Miss. Madeleine Violet"
Moor,2,2,1.0,"752, 824","Moor, Master. Meier | Moor, Mrs. (Beila)"
Moubarek,2,2,1.0,"66, 710","Moubarek, Master. Gerios | Moubarek, Master. Halim Gonios (""William George"")"
Murphy,2,2,1.0,"242, 613","Murphy, Miss. Katherine ""Kate"" | Murphy, Miss. Margaret Jane"
Nakid,2,2,1.0,"382, 623","Nakid, Miss. Maria (""Mary"") | Nakid, Mr. Sahid"
Nicola-Yarred,2,2,1.0,"40, 126","Nicola-Yarred, Miss. Jamila | Nicola-Yarred, Master. Elias"
Peter,2,2,1.0,"129, 534","Peter, Miss. Anna | Peter, Mrs. Catherine (Catherine Rizk)"
Quick,2,2,1.0,"507, 531","Quick, Mrs. Frederick Charles (Jane Richards) | Quick, Miss. Phyllis May"
Ryerson,2,2,1.0,"312, 743","Ryerson, Miss. Emily Borie | Ryerson, Miss. Susan Parker ""Suzette"""
Sandstrom,2,2,1.0,"11, 395","Sandstrom, Miss. Marguerite Rut | Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)"
Taylor,2,2,1.0,"670, 713","Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright) | Taylor, Mr. Elmer Zebley"
Wick,2,2,1.0,"319, 857","Wick, Miss. Mary Natalie | Wick, Mrs. George Dennick (Mary Hitchcock)"
Abbott,2,1,0.5,"280, 747","Abbott, Mrs. Stanton (Rosa Hunt) | Abbott, Mr. Rossmore Edward"
Abelson,2,1,0.5,"309, 875","Abelson, Mr. Samuel | Abelson, Mrs. Samuel (Hannah Wizosky)"
Allen,2,1,0.5,"5, 731","Allen, Mr. William Henry | Allen, Miss. Elisabeth Walton"
Andrews,2,1,0.5,"276, 807","Andrews, Miss. Kornelia Theodosia | Andrews, Mr. Thomas Jr"
Backstrom,2,1,0.5,"86, 207","Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson) | Backstrom, Mr. Karl Alfred"
Baxter,2,1,0.5,"119, 300","Baxter, Mr. Quigg Edmond | Baxter, Mrs. James (Helene DeLaudeniere Chaput)"
Crosby,2,1,0.5,"541, 746","Crosby, Miss. Harriet R | Crosby, Capt. Edward Gifford"
Dean,2,1,0.5,"94, 789","Dean, Mr. Bertram Frank | Dean, Master. Bertram Vere"
Futrelle,2,1,0.5,"4, 138","Futrelle, Mrs. Jacques Heath (Lily May Peel) | Futrelle, Mr. Jacques Heath"
Hakkarainen,2,1,0.5,"143, 404","Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck) | Hakkarainen, Mr. Pekka Pietari"
Hocking,2,1,0.5,"530, 775","Hocking, Mr. Richard George | Hocking, Mrs. Elizabeth (Eliza Needs)"
Holverson,2,1,0.5,"36, 384","Holverson, Mr. Alexander Oskar | Holverson, Mrs. Alexander Oskar (Mary Aline Towner)"
Jacobsohn,2,1,0.5,"218, 601","Jacobsohn, Mr. Sidney Samuel | Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)"
Kantor,2,1,0.5,"100, 317","Kantor, Mr. Sinai | Kantor, Mrs. Sinai (Miriam Sternin)"
Keane,2,1,0.5,"304, 791","Keane, Miss. Nora A | Keane, Mr. Andrew ""Andy"""
Lam,2,1,0.5,"693, 827","Lam, Mr. Ali | Lam, Mr. Len"
Mallet,2,1,0.5,"818, 828","Mallet, Mr. Albert | Mallet, Master. Andre"
Minahan,2,1,0.5,"246, 413","Minahan, Dr. William Edward | Minahan, Miss. Daisy E"
Nasser,2,1,0.5,"10, 123","Nasser, Mrs. Nicholas (Adele Achem) | Nasser, Mr. Nicholas"
Pears,2,1,0.5,"152, 337","Pears, Mrs. Thomas (Edith Wearne) | Pears, Mr. Thomas Clinton"
Penasco y Castellana,2,1,0.5,"308, 506","Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) | Penasco y Castellana, Mr. Victor de Satode"
Renouf,2,1,0.5,"477, 727","Renouf, Mr. Peter Henry | Renouf, Mrs. Peter Henry (Lillian Jefferys)"
Silvey,2,1,0.5,"435, 578","Silvey, Mr. William Baird | Silvey, Mrs. William Baird (Alice Munger)"
Stanley,2,1,0.5,"495, 650","Stanley, Mr. Edward Roland | Stanley, Miss. Amy Zillah Elsie"
Thorneycroft,2,1,0.5,"432, 640","Thorneycroft, Mrs. Percival (Florence Kate White) | Thorneycroft, Mr. Percival"
Webber,2,1,0.5,"124, 512","Webber, Miss. Susan | Webber, Mr. James"
Yasbeck,2,1,0.5,"621, 831","Yasbeck, Mr. Antoni | Yasbeck, Mrs. Antoni (Selini Alexander)"
Ali,2,0,0.0,"211, 785","Ali, Mr. Ahmed | Ali, Mr. William"
Arnold-Franchi,2,0,0.0,"50, 354","Arnold-Franchi, Mrs. Josef (Josefine Franchi) | Arnold-Franchi, Mr. Josef"
Attalah,2,0,0.0,"115, 245","Attalah, Miss. Malake | Attalah, Mr. Sleiman"
Barbara,2,0,0.0,"363, 703","Barbara, Mrs. (Catherine David) | Barbara, Miss. Saiide"
Braund,2,0,0.0,"1, 478","Braund, Mr. Owen Harris | Braund, Mr. Lewis Richard"
Cacic,2,0,0.0,"472, 535","Cacic, Mr. Luka | Cacic, Miss. Marija"
Calic,2,0,0.0,"164, 501","Calic, Mr. Jovo | Calic, Mr. Petar"
Carlsson,2,0,0.0,"757, 873","Carlsson, Mr. August Sigfrid | Carlsson, Mr. Frans Olof"
Chapman,2,0,0.0,"595, 696","Chapman, Mr. John Henry | Chapman, Mr. Charles Henry"
Coleff,2,0,0.0,"515, 664","Coleff, Mr. Satio | Coleff, Mr. Peju"
Danbom,2,0,0.0,"424, 617","Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) | Danbom, Mr. Ernst Gilbert"
Hagland,2,0,0.0,"452, 491","Hagland, Mr. Ingvald Olai Olsen | Hagland, Mr. Konrad Mathias Reiersen"
Johnston,2,0,0.0,"784, 889","Johnston, Mr. Andrew G | Johnston, Miss. Catherine Helen ""Carrie"""
Larsson,2,0,0.0,"232, 714","Larsson, Mr. Bengt Edvin | Larsson, Mr. August Viktor"
Lobb,2,0,0.0,"254, 618","Lobb, Mr. William Arthur | Lobb, Mrs. William Arthur (Cordelia K Stanlick)"
Morley,2,0,0.0,"462, 706","Morley, Mr. William | Morley, Mr. Henry Samuel (""Mr Henry Marshall"")"
Olsson,2,0,0.0,"282, 397","Olsson, Mr. Nils Johan Goransson | Olsson, Miss. Elina"
Oreskovic,2,0,0.0,"405, 726","Oreskovic, Miss. Marija | Oreskovic, Mr. Luka"
Petroff,2,0,0.0,"102, 878","Petroff, Mr. Pastcho (""Pentcho"") | Petroff, Mr. Nedelio"
Rosblom,2,0,0.0,"255, 425","Rosblom, Mrs. Viktor (Helena Wilhelmina) | Rosblom, Mr. Viktor Richard"
Saad,2,0,0.0,"694, 833","Saad, Mr. Khalil | Saad, Mr. Amin"
Strom,2,0,0.0,"206, 252","Strom, Miss. Telma Matilda | Strom, Mrs. Wilhelm (Elna Matilda Persson)"
Svensson,2,0,0.0,"500, 852","Svensson, Mr. Olof | Svensson, Mr. Johan"
Turpin,2,0,0.0,"42, 118","Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott) | Turpin, Mr. William John Robert"
White,2,0,0.0,"103, 125","White, Mr. Richard Frasar | White, Mr. Percival Wayland"
Zabour,2,0,0.0,"112, 241","Zabour, Miss. Hileni | Zabour, Miss. Thamine"
Aks,1,1,1.0,856,"Aks, Mrs. Sam (Leah Rosen)"
Albimona,1,1,1.0,208,"Albimona, Mr. Nassef Cassem"
Andersen-Jensen,1,1,1.0,193,"Andersen-Jensen, Miss. Carla Christine Nielsine"
Anderson,1,1,1.0,461,"Anderson, Mr. Harry"
Angle,1,1,1.0,519,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)"
Appleton,1,1,1.0,572,"Appleton, Mrs. Edward Dale (Charlotte Lamson)"
Astor,1,1,1.0,701,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)"
Aubart,1,1,1.0,370,"Aubart, Mme. Leontine Pauline"
Ayoub,1,1,1.0,781,"Ayoub, Miss. Banoura"
Ball,1,1,1.0,328,"Ball, Mrs. (Ada E Hall)"
Barah,1,1,1.0,763,"Barah, Mr. Hanna Assi"
Barber,1,1,1.0,291,"Barber, Miss. Ellen ""Nellie"""
Barkworth,1,1,1.0,631,"Barkworth, Mr. Algernon Henry Wilson"
Bazzani,1,1,1.0,219,"Bazzani, Miss. Albina"
Beesley,1,1,1.0,22,"Beesley, Mr. Lawrence"
Behr,1,1,1.0,890,"Behr, Mr. Karl Howell"
Bidois,1,1,1.0,381,"Bidois, Miss. Rosalie"
Bing,1,1,1.0,75,"Bing, Mr. Lee"
Bissette,1,1,1.0,270,"Bissette, Miss. Amelia"
Bjornstrom-Steffansson,1,1,1.0,431,"Bjornstrom-Steffansson, Mr. Mauritz Hakan"
Blank,1,1,1.0,210,"Blank, Mr. Henry"
Bonnell,1,1,1.0,12,"Bonnell, Miss. Elizabeth"
Bowerman,1,1,1.0,357,"Bowerman, Miss. Elsie Edith"
Bradley,1,1,1.0,508,"Bradley, Mr. George (""George Arthur Brayton"")"
Burns,1,1,1.0,338,"Burns, Miss. Elizabeth Margaret"
Buss,1,1,1.0,388,"Buss, Miss. Kate"
Bystrom,1,1,1.0,866,"Bystrom, Mrs. (Karolina)"
Calderhead,1,1,1.0,708,"Calderhead, Mr. Edward Pennington"
Cameron,1,1,1.0,212,"Cameron, Miss. Clear Annie"
Cardeza,1,1,1.0,680,"Cardeza, Mr. Thomas Drake Martinez"
Carr,1,1,1.0,209,"Carr, Miss. Helen ""Ellen"""
Cherry,1,1,1.0,258,"Cherry, Miss. Gladys"
Chibnall,1,1,1.0,167,"Chibnall, Mrs. (Edith Martha Bowerman)"
Chip,1,1,1.0,839,"Chip, Mr. Chang"
Christy,1,1,1.0,581,"Christy, Miss. Julie Rachel"
Clarke,1,1,1.0,427,"Clarke, Mrs. Charles V (Ada Maria Winfield)"
Cleaver,1,1,1.0,709,"Cleaver, Miss. Alice"
Cohen,1,1,1.0,205,"Cohen, Mr. Gurshon ""Gus"""
Compton,1,1,1.0,836,"Compton, Miss. Sara Rebecca"
Connolly,1,1,1.0,290,"Connolly, Miss. Kate"
Cumings,1,1,1.0,2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)"
Dahl,1,1,1.0,339,"Dahl, Mr. Karl Edwart"
Daniel,1,1,1.0,608,"Daniel, Mr. Robert Williams"
Davis,1,1,1.0,636,"Davis, Miss. Mary"
Davison,1,1,1.0,348,"Davison, Mrs. Thomas Henry (Mary E Finck)"
Devaney,1,1,1.0,45,"Devaney, Miss. Margaret Delia"
Dodge,1,1,1.0,446,"Dodge, Master. Washington"
Dorking,1,1,1.0,284,"Dorking, Mr. Edward Arthur"
Dowdell,1,1,1.0,80,"Dowdell, Miss. Elizabeth"
Drew,1,1,1.0,417,"Drew, Mrs. James Vivian (Lulu Thorne Christian)"
Duran y More,1,1,1.0,867,"Duran y More, Miss. Asuncion"
Emanuel,1,1,1.0,778,"Emanuel, Miss. Virginia Ethel"
Endres,1,1,1.0,717,"Endres, Miss. Caroline Louise"
Eustis,1,1,1.0,497,"Eustis, Miss. Elizabeth Mussey"
Faunthorpe,1,1,1.0,54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)"
Fleming,1,1,1.0,307,"Fleming, Miss. Margaret"
Foo,1,1,1.0,644,"Foo, Mr. Choong"
Francatelli,1,1,1.0,310,"Francatelli, Miss. Laura Mabel"
Frolicher,1,1,1.0,540,"Frolicher, Miss. Hedwig Margaritha"
Frolicher-Stehli,1,1,1.0,588,"Frolicher-Stehli, Mr. Maxmillian"
Garside,1,1,1.0,577,"Garside, Miss. Ethel"
Gilnagh,1,1,1.0,157,"Gilnagh, Miss. Katherine ""Katie"""
Glynn,1,1,1.0,33,"Glynn, Miss. Mary Agatha"
Greenfield,1,1,1.0,98,"Greenfield, Mr. William Bertram"
Harder,1,1,1.0,371,"Harder, Mr. George Achilles"
Hassab,1,1,1.0,682,"Hassab, Mr. Hammad"
Hawksford,1,1,1.0,741,"Hawksford, Mr. Walter James"
Healy,1,1,1.0,275,"Healy, Miss. Hanora ""Nora"""
Hedman,1,1,1.0,805,"Hedman, Mr. Oskar Arvid"
Heikkinen,1,1,1.0,3,"Heikkinen, Miss. Laina"
Hewlett,1,1,1.0,16,"Hewlett, Mrs. (Mary D Kingcome) "
Hirvonen,1,1,1.0,480,"Hirvonen, Miss. Hildur E"
Hogeboom,1,1,1.0,766,"Hogeboom, Mrs. John C (Anna Andrews)"
Homer,1,1,1.0,605,"Homer, Mr. Harry (""Mr E Haven"")"
Honkanen,1,1,1.0,217,"Honkanen, Miss. Eliina"
Hosono,1,1,1.0,289,"Hosono, Mr. Masabumi"
Icard,1,1,1.0,62,"Icard, Miss. Amelie"
Ilett,1,1,1.0,85,"Ilett, Miss. Bertha"
Jalsevac,1,1,1.0,456,"Jalsevac, Mr. Ivan"
Jansson,1,1,1.0,392,"Jansson, Mr. Carl Olof"
Jermyn,1,1,1.0,369,"Jermyn, Miss. Annie"
Jerwan,1,1,1.0,474,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)"
Johannesen-Bratthammer,1,1,1.0,445,"Johannesen-Bratthammer, Mr. Bernt"
Jonsson,1,1,1.0,570,"Jonsson, Mr. Carl"
Karun,1,1,1.0,692,"Karun, Miss. Manca"
Kenyon,1,1,1.0,458,"Kenyon, Mrs. Frederick R (Marion)"
Kimball,1,1,1.0,622,"Kimball, Mr. Edwin Nelson Jr"
Kink-Heilmann,1,1,1.0,185,"Kink-Heilmann, Miss. Luise Gretchen"
Landergren,1,1,1.0,377,"Landergren, Miss. Aurora Adelia"
Lang,1,1,1.0,510,"Lang, Mr. Fang"
LeRoy,1,1,1.0,538,"LeRoy, Miss. Bertha"
Leader,1,1,1.0,797,"Leader, Dr. Alice (Farnham)"
Leeni,1,1,1.0,554,"Leeni, Mr. Fahim (""Philip Zenni"")"
Lehmann,1,1,1.0,390,"Lehmann, Miss. Bertha"
Leitch,1,1,1.0,597,"Leitch, Miss. Jessie Wills"
Lemore,1,1,1.0,517,"Lemore, Mrs. (Amelia Milley)"
Lesurer,1,1,1.0,738,"Lesurer, Mr. Gustave J"
Lindqvist,1,1,1.0,665,"Lindqvist, Mr. Eino William"
Lines,1,1,1.0,854,"Lines, Miss. Mary Conover"
Longley,1,1,1.0,628,"Longley, Miss. Gretchen Fiske"
Louch,1,1,1.0,433,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)"
Lulic,1,1,1.0,822,"Lulic, Mr. Nikola"
Lurette,1,1,1.0,196,"Lurette, Miss. Elise"
Madigan,1,1,1.0,199,"Madigan, Miss. Margaret ""Maggie"""
Madill,1,1,1.0,690,"Madill, Miss. Georgette Alexandra"
Madsen,1,1,1.0,128,"Madsen, Mr. Fridtjof Arne"
Maioni,1,1,1.0,505,"Maioni, Miss. Roberta"
Mamee,1,1,1.0,37,"Mamee, Mr. Hanna"
Mannion,1,1,1.0,728,"Mannion, Miss. Margareth"
Marechal,1,1,1.0,840,"Marechal, Mr. Pierre"
Masselmani,1,1,1.0,20,"Masselmani, Mrs. Fatima"
Mayne,1,1,1.0,711,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")"
McCormack,1,1,1.0,829,"McCormack, Mr. Thomas Joseph"
McDermott,1,1,1.0,83,"McDermott, Miss. Brigdet Delia"
McGough,1,1,1.0,513,"McGough, Mr. James Robert"
McGovern,1,1,1.0,359,"McGovern, Miss. Mary"
McGowan,1,1,1.0,23,"McGowan, Miss. Anna ""Annie"""
